Scenario,0.25Y (%),1Y (%),2Y (%),5Y (%),10Y (%),30Y (%),2s10s (bps)
Current,3.7000000000000006,3.45,3.47,3.6699999999999995,4.09,4.72,61.99999999999997
+50bp Parallel,4.2,3.95,3.9699999999999998,4.169999999999999,4.59,5.22,61.99999999999997
-50bp Parallel,3.2000000000000006,2.95,2.97,3.17,3.5900000000000003,4.22,62.00000000000001
Steepening (+25bp),3.6762500000000005,3.4300000000000006,3.4550000000000005,3.6699999999999995,4.115,4.845,65.99999999999994
Flattening (-25bp),3.723750000000001,3.47,3.485,3.6699999999999995,4.0649999999999995,4.595,57.99999999999999
